week,state,state_name,disease,cases,incidence_per_capita,,latitude,longitude
192801,AL,ALABAMA,MEASLES,97,3.67,,42.546245,1.601554
192801,AR,ARKANSAS,MEASLES,76,4.11,,23.424076,53.847818
192801,AZ,ARIZONA,MEASLES,8,1.9,,33.93911,67.709953
192801,CA,CALIFORNIA,MEASLES,74,1.38,,17.060816,-61.796428
192801,CO,COLORADO,MEASLES,85,8.38,,18.220554,-63.068615
192801,CT,CONNECTICUT,MEASLES,71,4.5,,41.153332,20.168331
192801,DE,DELAWARE,MEASLES,20,8.58,,40.069099,45.038189
192801,FL,FLORIDA,MEASLES,3,0.21,,12.226079,-69.060087
192801,GA,GEORGIA,MEASLES,34,1.17,,-11.202692,17.873887
192801,IA,IOWA,MEASLES,4,0.16,,-75.250973,-0.071389
192801,IL,ILLINOIS,MEASLES,38,0.5,,-38.416097,-63.616672
192801,IN,INDIANA,MEASLES,43,1.34,,-14.270972,-170.132217
192801,KS,KANSAS,MEASLES,15,0.81,,47.516231,14.550072
192801,KY,KENTUCKY,MEASLES,79,3.08,,-25.274398,133.775136
192801,LA,LOUISIANA,MEASLES,39,1.89,,12.52111,-69.968338
192801,MA,MASSACHUSETTS,MEASLES,1082,25.66,,40.143105,47.576927
192801,MD,MARYLAND,MEASLES,175,10.87,,43.915886,17.679076
192801,ME,MAINE,MEASLES,36,4.52,,13.193887,-59.543198
192801,MI,MICHIGAN,MEASLES,265,5.68,,23.684994,90.356331
192801,MN,MINNESOTA,MEASLES,8,0.31,,50.503887,4.469936
192801,MO,MISSOURI,MEASLES,43,1.19,,12.238333,-1.561593
192801,MT,MONTANA,MEASLES,1,0.18,,42.733883,25.48583
192801,NC,NORTH CAROLINA,MEASLES,1475,47.86,,25.930414,50.637772
192801,NE,NEBRASKA,MEASLES,22,1.6,,-3.373056,29.918886
192801,NJ,NEW JERSEY,MEASLES,141,3.55,,9.30769,2.315834
192801,NM,NEW MEXICO,MEASLES,62,14.9,,32.321384,-64.75737
192801,NY,NEW YORK,MEASLES,882,7.6,,4.535277,114.727669
192801,OH,OHIO,MEASLES,166,2.51,,-16.290154,-63.588653
192801,OK,OKLAHOMA,MEASLES,114,4.86,,-14.235004,-51.92528
192801,OR,OREGON,MEASLES,46,4.91,,25.03428,-77.39628
192801,PA,PENNSYLVANIA,MEASLES,683,6.97,,27.514162,90.433601
192801,RI,RHODE ISLAND,MEASLES,8,1.18,,-54.423199,3.413194
192801,SC,SOUTH CAROLINA,MEASLES,731,42.04,,-22.328474,24.684866
192801,SD,SOUTH DAKOTA,MEASLES,39,5.69,,53.709807,27.953389
